Código|Descrição do Status
571|Rejeição: O tpEmis informado diferente de 3 para contingência SCAN
572|Rejeição: Erro Atributo ID do evento não corresponde a concatenação dos campos (“ID” + tpEvento + chNFe + nSeqEvento)
573|Rejeição: Duplicidade de Evento
574|Rejeição: O autor do evento diverge do emissor da NF-e
575|Rejeição: O autor do evento diverge do destinatário da NF-e
576|Rejeição: O autor do evento não é um órgão autorizado a gerar o evento
577|Rejeição: A data do evento não pode ser menor que a data de emissão da NF-e
578|Rejeição: A data do evento não pode ser maior que a data do processamento
579|Rejeição: A data do evento não pode ser menor que a data de autorização para NF-e não emitida em contingência
580|Rejeição: O evento exige uma NF-e autorizada
587|Rejeição: Usar somente o namespace padrão da NF-e
588|Rejeição: Não é permitida a presença de caracteres de edição no início/fim da mensagem ou entre as tags da mensagem
589|Rejeição: Número do NSU informado superior ao maior NSU da base de dados da SEFAZ
590|Rejeição: Informado CST para emissor do Simples Nacional (CRT=1)
591|Rejeição: Informado CSOSN para emissor que não é do Simples Nacional (CRT diferente de 1)
592|Rejeição: A NF-e deve ter pelo menos um item de produto sujeito ao ICMS
593|Rejeição: CNPJ-Base consultado difere do CNPJ-Base do Certificado Digital
594|Rejeição: O número de sequencia do evento informado é maior que o permitido
595|Rejeição: Obrigatória a informação da justificativa do evento.
596|Rejeição: Evento apresentado fora do prazo: [prazo vigente]
597|Rejeição: CFOP de Importação e não informado dados de IPI
598|Rejeição: NF-e emitida em ambiente de homologação com Razão Social do destinatário diferente de NF-E EMITIDA EM AMBIENTE DE HOMOLOGACAO – SEM VALOR FISCAL
599|Rejeição: CFOP de Importação e não informado dados de II
601|Rejeição: Total do II difere do somatório dos itens
602|Rejeição: Total do PIS difere do somatório dos itens sujeitos ao ICMS
603|Rejeição: Total do COFINS difere do somatório dos itens sujeitos ao ICMS
604|Rejeição: Total do vOutro difere do somatório dos itens
605|Rejeição: Total do vISS difere do somatório do vProd dos itens sujeitos ao ISSQN
606|Rejeição: Total do vBC do ISS difere do somatório dos itens
607|Rejeição: Total do ISS difere do somatório dos itens
608|Rejeição: Total do PIS difere do somatório dos itens sujeitos ao ISSQN
609|Rejeição: Total do COFINS difere do somatório dos itens sujeitos ao ISSQN
610|Rejeição: Total da NF difere do somatório dos Valores compõe o valor Total da NF.
611|Rejeição: cEAN inválido
612|Rejeição: cEANTrib inválido
613|Rejeição: Chave de Acesso difere da existente em BD
614|Rejeição: Chave de Acesso inválida (Código UF inválido)
615|Rejeição: Chave de Acesso inválida (Ano menor que 06 ou Ano maior que Ano corrente)
616|Rejeição: Chave de Acesso inválida (Mês menor que 1 ou Mês maior que 12)
617|Rejeição: Chave de Acesso inválida (CNPJ zerado ou dígito inválido)
618|Rejeição: Chave de Acesso inválida (modelo diferente de 55 e 65)
619|Rejeição: Chave de Acesso inválida (número NF = 0)
620|Rejeição: Chave de Acesso difere da existente em BD
621|Rejeição: CPF Emitente não cadastrado
622|Rejeição: IE emitente não vinculada ao CPF
623|Rejeição: CPF Destinatário não cadastrado
624|Rejeição: IE Destinatário não vinculada ao CPF
625|Rejeição: Inscrição SUFRAMA deve ser informada na venda com isenção para ZFM
626|Rejeição: CFOP de operação isenta para ZFM diferente do previsto
627|Rejeição: O valor do ICMS desonerado deve ser informado
628|Rejeição: Total da NF superior ao valor limite estabelecido pela SEFAZ [Limite]
629|Rejeição: Valor do Produto difere do produto Valor Unitário de Comercialização e Quantidade Comercial
630|Rejeição: Valor do Produto difere do produto Valor Unitário de Tributação e Quantidade Tributável
631|Rejeição: CNPJ-Base do Destinatário difere do CNPJ-Base do Certificado Digital
632|Rejeição: Solicitação fora de prazo, a NF-e não está mais disponível para download
633|Rejeição: NF-e indisponível para download devido a ausência de Manifestação do Destinatário
634|Rejeição: Destinatário da NF-e não tem o mesmo CNPJ raiz do solicitante do download
635|Rejeição: NF-e com mesmo número e série já transmitida e aguardando processamento
650|Rejeição: Evento de “Ciência da Emissão” para NF-e Cancelada ou Denegada
651|Rejeição: Evento de “Desconhecimento da Operação” para NF-e Cancelada ou Denegada
653|Rejeição: NF-e Cancelada, arquivo indisponível para download
654|Rejeição: NF-e Denegada, arquivo indisponível para download
655|Rejeição: Evento de Ciência da Emissão informado após a manifestação final do destinatário
656|Rejeição: Consumo Indevido
657|Rejeição: Código do Órgão diverge do órgão autorizador
658|Rejeição: UF do destinatário da Chave de Acesso diverge da UF autorizadora
660|Rejeição: CFOP de Combustível e não informado grupo de combustível da NF-e
661|Rejeição: NF-e já existente para o número do EPEC informado
662|Rejeição: Numeração do EPEC está inutilizada na Base de Dados da SEFAZ
663|Rejeição: Alíquota do ICMS com valor superior a 4 por cento na operação de saída interestadual com produtos importados
678|Rejeição: NF referenciada com UF diferente da NF-e complementar
679|Rejeição: Modelo da NF-e referenciada diferente de 55
680|Rejeição: Duplicidade de NF-e referenciada (Chave de Acesso referenciada mais de uma vez)
681|Rejeição: Duplicidade de NF Modelo 1 referenciada (CNPJ, Modelo, Série e Número)
682|Rejeição: Duplicidade de NF de Produtor referenciada (IE, Modelo, Série e Número)
683|Rejeição: Modelo do CT-e referenciado diferente de 57
684|Rejeição: Duplicidade de Cupom Fiscal referenciado (Modelo, Número de Ordem e COO)
685|Rejeição: Total do Valor Aproximado dos Tributos difere do somatório dos itens
686|Rejeição: NF Complementar referencia uma NF-e cancelada
687|Rejeição: NF Complementar referencia uma NF-e denegada
688|Rejeição: NF referenciada de Produtor com IE inexistente [nRef: xxx]
689|Rejeição: NF referenciada de Produtor com IE não vinculada ao CNPJ/CPF informado [nRef: xxx]
690|Rejeição: Pedido de Cancelamento para NF-e com CT-e
691|Rejeição: Chave de Acesso da NF-e diverge da Chave de Acesso do EPEC
700|Rejeição: Mensagem de Lote versão 3.xx. Enviar para o Web Service nfeAutorizacao
701|Rejeição: NF-e não pode utilizar a versão 3.00
702|Rejeição: NFC-e não é aceita pela UF do Emitente
703|Rejeição: Data-Hora de Emissão posterior ao horário de recebimento
704|Rejeição: NFC-e com Data-Hora de emissão atrasada
705|Rejeição: NFC-e com data de entrada/saída
706|Rejeição: NFC-e para operação de entrada
707|Rejeição: NFC-e para operação interestadual ou com o exterior
708|Rejeição: NFC-e não pode referenciar documento fiscal
709|Rejeição: NFC-e com formato de DANFE inválido
710|Rejeição: NF-e com formato de DANFE inválido
711|Rejeição: NF-e com contingência off-line
712|Rejeição: NFC-e com contingência off-line para a UF
713|Rejeição: Tipo de Emissão diferente de 6 ou 7 para contingência da SVC acessada
714|Rejeição: NFC-e com contingência DPEC inexistente
715|Rejeição: NFC-e com finalidade inválida
716|Rejeição: NFC-e em operação não destinada a consumidor final
717|Rejeição: NFC-e em operação não presencial
718|Rejeição: NFC-e não deve informar IE de Substituto Tributário
719|Rejeição: NF-e sem a identificação do destinatário
720|Rejeição: Na operação com Exterior deve ser informada tag idEstrangeiro
721|Rejeição: Operação interestadual deve informar CNPJ ou CPF.
723|Rejeição: Operação interna com idEstrangeiro informado deve ser para consumidor final
724|Rejeição: NF-e sem o nome do destinatário
725|Rejeição: NFC-e com CFOP inválido
726|Rejeição: NF-e sem a informação de endereço do destinatário
727|Rejeição: Operação com Exterior e UF diferente de EX
728|Rejeição: NF-e sem informação da IE do destinatário
729|Rejeição: NFC-e com informação da IE do destinatário
730|Rejeição: NFC-e com Inscrição Suframa
731|Rejeição: CFOP de operação com Exterior e idDest <> 3
732|Rejeição: CFOP de operação interestadual e idDest <> 2
733|Rejeição: CFOP de operação interna e idDest <> 1
734|Rejeição: NFC-e com Unidade de Comercialização inválida
735|Rejeição: NFC-e com Unidade de Tributação inválida
736|Rejeição: NFC-e com grupo de Veículos novos
737|Rejeição: NFC-e com grupo de Medicamentos
738|Rejeição: NFC-e com grupo de Armamentos
739|Rejeição: NFC-e com grupo de Combustível
740|Rejeição: NFC-e com CST 51-Diferimento
741|Rejeição: NFC-e com Partilha de ICMS entre UF
742|Rejeição: NFC-e com grupo do IPI
743|Rejeição: NFC-e com grupo do II
745|Rejeição: NF-e sem grupo do PIS
746|Rejeição: NFC-e com grupo do PIS-ST
748|Rejeição: NF-e sem grupo da COFINS
749|Rejeição: NFC-e com grupo da COFINS-ST
750|Rejeição: NFC-e com valor total superior ao permitido para destinatário não identificado (Código) [Limite]
751|Rejeição: NFC-e com valor total superior ao permitido para destinatário não identificado (Nome) [Limite]
752|Rejeição: NFC-e com valor total superior ao permitido para destinatário não identificado (Endereço) [Limite]
753|Rejeição: NFC-e com Frete
754|Rejeição: NFC-e com dados do Transportador
755|Rejeição: NFC-e com dados de Retenção do ICMS no Transporte
756|Rejeição: NFC-e com dados do veículo de Transporte
757|Rejeição: NFC-e com dados de Reboque do veículo de Transporte
758|Rejeição: NFC-e com dados do Vagão de Transporte
759|Rejeição: NFC-e com dados da Balsa de Transporte
760|Rejeição: NFC-e com dados de cobrança (Fatura, Duplicata)
762|Rejeição: NFC-e com dados de compras (Empenho, Pedido, Contrato)
763|Rejeição: NFC-e com dados de aquisição de Cana
764|Rejeição: Solicitada resposta síncrona para Lote com mais de uma NF-e (indSinc=1)
765|Rejeição: Lote só poderá conter NF-e ou NFC-e
766|Rejeição: NFC-e com CST 50-Suspensão
767|Rejeição: NFC-e com somatório dos pagamentos diferente do total da Nota Fiscal
768|Rejeição: NF-e não deve possuir o grupo de Formas de Pagamento
769|Rejeição: A critério da UF NFC-e deve possuir o grupo de Formas de Pagamento
770|Rejeição: NFC-e autorizada há mais de 24 horas.
771|Rejeição: Operação Interestadual e UF de destino com EX
772|Rejeição: Operação Interestadual e UF de destino igual à UF do emitente
773|Rejeição: Operação Interna e UF de destino difere da UF do emitente
774|Rejeição: NFC-e com indicador de item não participante do total
775|Rejeição: Modelo da NFC-e diferente de 65
776|Rejeição: Solicitada resposta síncrona para UF que não disponibiliza este atendimento (indSinc=1)
777|Rejeição: Obrigatória a informação do NCM completo
778|Rejeição: Informado NCM inexistente
779|Rejeição: NFC-e com NCM incompatível
780|Rejeição: Total da NFC-e superior ao valor limite estabelecido pela SEFAZ [Limite]
781|Rejeição: Emissor não habilitado para emissão da NFC-e
782|Rejeição: NFC-e não é autorizada pelo SCAN
783|Rejeição: NFC-e não é autorizada pela SVC
784|Rejeição: NFC-e não permite o evento de Carta de Correção
785|Rejeição: NFC-e com entrega a domicílio não permitida pela UF
786|Rejeição: NFC-e de entrega a domicílio sem dados do Transportador
787|Rejeição: NFC-e de entrega a domicílio sem a identificação do destinatário
788|Rejeição: NFC-e de entrega a domicílio sem o endereço do destinatário
789|Rejeição: NFC-e para destinatário contribuinte de ICMS
790|Rejeição: Operação com Exterior para destinatário Contribuinte de ICMS
791|Rejeição: NF-e com indicação de destinatário isento de IE, com a informação da IE do destinatário
792|Rejeição: Informada a IE do destinatário para operação com destinatário no Exterior
793|Rejeição: Informado Capítulo do NCM inexistente
794|Rejeição: NF-e com indicativo de NFC-e com entrega a domicílio
795|Rejeição: Total do ICMS desonerado difere do somatório dos itens
796|Rejeição: Empresa sem Chave de Segurança para o QR-Code
999|Rejeição: Erro não catalogado (informar a mensagem de erro capturado no tratamento da exceção)
